"agno","mes","dia","valor","sitio"
1985,12,1,0,"Pudahuel Santiago"
1986,1,1,0,"Pudahuel Santiago"
1986,2,1,0,"Pudahuel Santiago"
1986,3,1,0,"Pudahuel Santiago"
1986,4,1,24.8,"Pudahuel Santiago"
1986,5,1,85.6,"Pudahuel Santiago"
1986,6,1,77.7,"Pudahuel Santiago"
1986,7,1,1.1,"Pudahuel Santiago"
1986,8,1,48.2,"Pudahuel Santiago"
1986,9,1,1.2,"Pudahuel Santiago"
1986,10,1,0.1,"Pudahuel Santiago"
1986,11,1,20.1,"Pudahuel Santiago"
1986,12,1,0,"Pudahuel Santiago"
1987,1,1,0,"Pudahuel Santiago"
1987,2,1,0,"Pudahuel Santiago"
1987,3,1,0,"Pudahuel Santiago"
1987,4,1,10.5,"Pudahuel Santiago"
1987,5,1,54.6,"Pudahuel Santiago"
1987,6,1,47.1,"Pudahuel Santiago"
1987,7,1,329.6,"Pudahuel Santiago"
1987,8,1,170.2,"Pudahuel Santiago"
1987,9,1,23.3,"Pudahuel Santiago"
1987,10,1,61.1,"Pudahuel Santiago"
1987,11,1,0,"Pudahuel Santiago"
1987,12,1,0,"Pudahuel Santiago"
1988,1,1,0,"Pudahuel Santiago"
1988,2,1,0,"Pudahuel Santiago"
1988,3,1,7.1,"Pudahuel Santiago"
1988,4,1,0,"Pudahuel Santiago"
1988,5,1,1.9,"Pudahuel Santiago"
1988,6,1,11.3,"Pudahuel Santiago"
1988,7,1,24.8,"Pudahuel Santiago"
1988,8,1,38.2,"Pudahuel Santiago"
1988,9,1,5.6,"Pudahuel Santiago"
1988,10,1,0,"Pudahuel Santiago"
1988,11,1,12.8,"Pudahuel Santiago"
1988,12,1,6.6,"Pudahuel Santiago"
1989,1,1,0,"Pudahuel Santiago"
1989,2,1,0,"Pudahuel Santiago"
1989,3,1,0,"Pudahuel Santiago"
1989,4,1,16.4,"Pudahuel Santiago"
1989,5,1,20.2,"Pudahuel Santiago"
1989,6,1,9.8,"Pudahuel Santiago"
